X0 X1 X2
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 X255 X256
X128 X257 X258
X129 X259 X260
X130 X261 X262
X131 X263 X264
X132 X265 X266
X133 X267 X268
X134 X269 X270
X135 X271 X272
X136 X273 X274
X137 X275 X276
X138 X277 X278
X139 X279 X280
X140 X281 X282
X141 X283 X284
X142 X285 X286
X143 X287 X288
X144 X289 X290
X145 X291 X292
X146 X293 X294
X147 X295 X296
X148 X297 X298
X149 X299 X300
X150 X301 X302
X151 X303 X304
X152 X305 X306
X153 X307 X308
X154 X309 X310
X155 X311 X312
X156 X313 X314
X157 X315 X316
X158 X317 X318
X159 X319 X320
X160 X321 X322
X161 X323 X324
X162 X325 X326
X163 X327 X328
X164 X329 X330
X165 X331 X332
X166 X333 X334
X167 X335 X336
X168 X337 X338
X169 X339 X340
X170 X341 X342
X171 X343 X344
X172 X345 X346
X173 X347 X348
X174 X349 X350
X175 X351 X352
X176 X353 X354
X177 X355 X356
X178 X357 X358
X179 X359 X360
X180 X361 X362
X181 X363 X364
X182 X365 X366
X183 X367 X368
X184 X369 X370
X185 X371 X372
X186 X373 X374
X187 X375 X376
X188 X377 X378
X189 X379 X380
X190 X381 X382
X191 X383 X384
X192 X385 X386
X193 X387 X388
X194 X389 X390
X195 X391 X392
X196 X393 X394
X197 X395 X396
X198 X397 X398
X199 X399 X400
X200 X401 X402
X201 X403 X404
X202 X405 X406
X203 X407 X408
X204 X409 X410
X205 X411 X412
X206 X413 X414
X207 X415 X416
X208 X417 X418
X209 X419 X420
X210 X421 X422
X211 X423 X424
X212 X425 X426
X213 X427 X428
X214 X429 X430
X215 X431 X432
X216 X433 X434
X217 X435 X436
X218 X437 X438
X219 X439 X440
X220 X441 X442
X221 X443 X444
X222 X445 X446
X223 X447 X448
X224 X449 X450
X225 X451 X452
X226 X453 X454
X227 X455 X456
X228 X457 X458
X229 X459 X460
X230 X461 X462
X231 X463 X464
X232 X465 X466
X233 X467 X468
X234 X469 X470
X235 X471 X472
X236 X473 X474
X237 X475 X476
X238 X477 X478
X239 X479 X480
X240 X481 X482
X241 X483 X484
X242 X485 X486
X243 X487 X488
X244 X489 X490
X245 X491 X492
X246 X493 X494
X247 X495 X496
X248 X497 X498
X249 X499 X500
X250 X501 X502
X251 X503 X504
X252 X505 X506
X253 X507 X508
X254 X509 X510
X255 27 32
X256 32 35
X257 32 35
X258 35 35
X259 29 33
X260 33 34
X261 35 40
X262 36 39
X263 31 34
X264 31 34
X265 31 33
X266 36 39
X267 33 37
X268 34 37
X269 35 38
X270 41 44
X271 30 35
X272 34 37
X273 37 39
X274 38 42
X275 34 34
X276 36 41
X277 37 37
X278 41 42
X279 37 40
X280 41 41
X281 40 40
X282 42 49
X283 39 40
X284 41 42
X285 44 47
X286 48 48
X287 28 31
X288 33 33
X289 32 36
X290 36 40
X291 34 35
X292 37 37
X293 34 39
X294 39 45
X295 32 32
X296 35 35
X297 35 35
X298 35 36
X299 32 37
X300 36 39
X301 40 42
X302 42 43
X303 31 34
X304 36 39
X305 36 36
X306 41 41
X307 37 40
X308 37 43
X309 36 39
X310 42 42
X311 33 35
X312 37 37
X313 39 41
X314 39 41
X315 42 43
X316 43 44
X317 40 43
X318 47 48
X319 34 35
X320 35 37
X321 37 40
X322 39 39
X323 35 40
X324 36 41
X325 38 42
X326 45 45
X327 39 40
X328 41 44
X329 41 43
X330 40 47
X331 37 40
X332 40 46
X333 44 44
X334 45 47
X335 33 38
X336 35 39
X337 35 39
X338 37 41
X339 38 41
X340 41 42
X341 38 42
X342 43 44
X343 36 39
X344 37 42
X345 39 45
X346 46 49
X347 42 43
X348 47 49
X349 42 47
X350 45 51
X351 35 36
X352 39 43
X353 40 45
X354 42 48
X355 39 41
X356 40 42
X357 40 45
X358 45 48
X359 44 48
X360 45 47
X361 43 46
X362 48 53
X363 43 48
X364 44 49
X365 45 48
X366 49 55
X367 37 42
X368 40 46
X369 37 42
X370 41 45
X371 41 42
X372 43 50
X373 42 48
X374 48 53
X375 39 40
X376 43 44
X377 42 44
X378 45 51
X379 38 45
X380 43 50
X381 46 51
X382 50 57
X383 28 31
X384 33 33
X385 32 32
X386 32 34
X387 32 35
X388 36 41
X389 37 38
X390 36 39
X391 35 36
X392 39 39
X393 36 37
X394 37 43
X395 36 41
X396 37 40
X397 39 43
X398 43 46
X399 31 32
X400 32 34
X401 32 33
X402 32 36
X403 36 37
X404 37 38
X405 34 36
X406 39 42
X407 31 33
X408 35 38
X409 37 37
X410 40 43
X411 39 40
X412 39 41
X413 43 46
X414 45 48
X415 36 37
X416 40 42
X417 38 39
X418 37 41
X419 37 37
X420 40 43
X421 43 44
X422 44 47
X423 34 39
X424 35 39
X425 37 37
X426 40 43
X427 39 39
X428 44 47
X429 43 43
X430 42 46
X431 37 39
X432 43 44
X433 37 39
X434 43 45
X435 42 42
X436 44 46
X437 43 45
X438 42 48
X439 43 45
X440 44 46
X441 45 47
X442 44 48
X443 42 44
X444 46 46
X445 45 52
X446 48 49
X447 34 34
X448 37 42
X449 39 41
X450 43 45
X451 42 45
X452 43 44
X453 43 43
X454 46 53
X455 36 41
X456 43 43
X457 42 47
X458 49 49
X459 41 43
X460 41 48
X461 45 49
X462 47 53
X463 35 38
X464 38 40
X465 38 42
X466 40 40
X467 40 42
X468 41 43
X469 42 43
X470 41 44
X471 43 46
X472 44 48
X473 41 46
X474 50 52
X475 44 50
X476 45 49
X477 42 48
X478 50 52
X479 36 41
X480 40 41
X481 41 42
X482 44 49
X483 42 49
X484 45 46
X485 44 45
X486 46 53
X487 45 45
X488 45 50
X489 46 47
X490 49 57
X491 47 49
X492 52 56
X493 52 55
X494 52 59
X495 41 46
X496 42 45
X497 46 47
X498 49 54
X499 45 47
X500 47 48
X501 45 52
X502 45 52
X503 43 48
X504 47 49
X505 44 47
X506 49 53
X507 48 53
X508 50 54
X509 49 51
X510 57 58
