X0 X1 X2
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 X255 X256
X128 X257 X258
X129 X259 X260
X130 X261 X262
X131 X263 X264
X132 X265 X266
X133 X267 X268
X134 X269 X270
X135 X271 X272
X136 X273 X274
X137 X275 X276
X138 X277 X278
X139 X279 X280
X140 X281 X282
X141 X283 X284
X142 X285 X286
X143 X287 X288
X144 X289 X290
X145 X291 X292
X146 X293 X294
X147 X295 X296
X148 X297 X298
X149 X299 X300
X150 X301 X302
X151 X303 X304
X152 X305 X306
X153 X307 X308
X154 X309 X310
X155 X311 X312
X156 X313 X314
X157 X315 X316
X158 X317 X318
X159 X319 X320
X160 X321 X322
X161 X323 X324
X162 X325 X326
X163 X327 X328
X164 X329 X330
X165 X331 X332
X166 X333 X334
X167 X335 X336
X168 X337 X338
X169 X339 X340
X170 X341 X342
X171 X343 X344
X172 X345 X346
X173 X347 X348
X174 X349 X350
X175 X351 X352
X176 X353 X354
X177 X355 X356
X178 X357 X358
X179 X359 X360
X180 X361 X362
X181 X363 X364
X182 X365 X366
X183 X367 X368
X184 X369 X370
X185 X371 X372
X186 X373 X374
X187 X375 X376
X188 X377 X378
X189 X379 X380
X190 X381 X382
X191 X383 X384
X192 X385 X386
X193 X387 X388
X194 X389 X390
X195 X391 X392
X196 X393 X394
X197 X395 X396
X198 X397 X398
X199 X399 X400
X200 X401 X402
X201 X403 X404
X202 X405 X406
X203 X407 X408
X204 X409 X410
X205 X411 X412
X206 X413 X414
X207 X415 X416
X208 X417 X418
X209 X419 X420
X210 X421 X422
X211 X423 X424
X212 X425 X426
X213 X427 X428
X214 X429 X430
X215 X431 X432
X216 X433 X434
X217 X435 X436
X218 X437 X438
X219 X439 X440
X220 X441 X442
X221 X443 X444
X222 X445 X446
X223 X447 X448
X224 X449 X450
X225 X451 X452
X226 X453 X454
X227 X455 X456
X228 X457 X458
X229 X459 X460
X230 X461 X462
X231 X463 X464
X232 X465 X466
X233 X467 X468
X234 X469 X470
X235 X471 X472
X236 X473 X474
X237 X475 X476
X238 X477 X478
X239 X479 X480
X240 X481 X482
X241 X483 X484
X242 X485 X486
X243 X487 X488
X244 X489 X490
X245 X491 X492
X246 X493 X494
X247 X495 X496
X248 X497 X498
X249 X499 X500
X250 X501 X502
X251 X503 X504
X252 X505 X506
X253 X507 X508
X254 X509 X510
X255 X511 X512
X256 X513 X514
X257 X515 X516
X258 X517 X518
X259 X519 X520
X260 X521 X522
X261 X523 X524
X262 X525 X526
X263 X527 X528
X264 X529 X530
X265 X531 X532
X266 X533 X534
X267 X535 X536
X268 X537 X538
X269 X539 X540
X270 X541 X542
X271 X543 X544
X272 X545 X546
X273 X547 X548
X274 X549 X550
X275 X551 X552
X276 X553 X554
X277 X555 X556
X278 X557 X558
X279 X559 X560
X280 X561 X562
X281 X563 X564
X282 X565 X566
X283 X567 X568
X284 X569 X570
X285 X571 X572
X286 X573 X574
X287 X575 X576
X288 X577 X578
X289 X579 X580
X290 X581 X582
X291 X583 X584
X292 X585 X586
X293 X587 X588
X294 X589 X590
X295 X591 X592
X296 X593 X594
X297 X595 X596
X298 X597 X598
X299 X599 X600
X300 X601 X602
X301 X603 X604
X302 X605 X606
X303 X607 X608
X304 X609 X610
X305 X611 X612
X306 X613 X614
X307 X615 X616
X308 X617 X618
X309 X619 X620
X310 X621 X622
X311 X623 X624
X312 X625 X626
X313 X627 X628
X314 X629 X630
X315 X631 X632
X316 X633 X634
X317 X635 X636
X318 X637 X638
X319 X639 X640
X320 X641 X642
X321 X643 X644
X322 X645 X646
X323 X647 X648
X324 X649 X650
X325 X651 X652
X326 X653 X654
X327 X655 X656
X328 X657 X658
X329 X659 X660
X330 X661 X662
X331 X663 X664
X332 X665 X666
X333 X667 X668
X334 X669 X670
X335 X671 X672
X336 X673 X674
X337 X675 X676
X338 X677 X678
X339 X679 X680
X340 X681 X682
X341 X683 X684
X342 X685 X686
X343 X687 X688
X344 X689 X690
X345 X691 X692
X346 X693 X694
X347 X695 X696
X348 X697 X698
X349 X699 X700
X350 X701 X702
X351 X703 X704
X352 X705 X706
X353 X707 X708
X354 X709 X710
X355 X711 X712
X356 X713 X714
X357 X715 X716
X358 X717 X718
X359 X719 X720
X360 X721 X722
X361 X723 X724
X362 X725 X726
X363 X727 X728
X364 X729 X730
X365 X731 X732
X366 X733 X734
X367 X735 X736
X368 X737 X738
X369 X739 X740
X370 X741 X742
X371 X743 X744
X372 X745 X746
X373 X747 X748
X374 X749 X750
X375 X751 X752
X376 X753 X754
X377 X755 X756
X378 X757 X758
X379 X759 X760
X380 X761 X762
X381 X763 X764
X382 X765 X766
X383 X767 X768
X384 X769 X770
X385 X771 X772
X386 X773 X774
X387 X775 X776
X388 X777 X778
X389 X779 X780
X390 X781 X782
X391 X783 X784
X392 X785 X786
X393 X787 X788
X394 X789 X790
X395 X791 X792
X396 X793 X794
X397 X795 X796
X398 X797 X798
X399 X799 X800
X400 X801 X802
X401 X803 X804
X402 X805 X806
X403 X807 X808
X404 X809 X810
X405 X811 X812
X406 X813 X814
X407 X815 X816
X408 X817 X818
X409 X819 X820
X410 X821 X822
X411 X823 X824
X412 X825 X826
X413 X827 X828
X414 X829 X830
X415 X831 X832
X416 X833 X834
X417 X835 X836
X418 X837 X838
X419 X839 X840
X420 X841 X842
X421 X843 X844
X422 X845 X846
X423 X847 X848
X424 X849 X850
X425 X851 X852
X426 X853 X854
X427 X855 X856
X428 X857 X858
X429 X859 X860
X430 X861 X862
X431 X863 X864
X432 X865 X866
X433 X867 X868
X434 X869 X870
X435 X871 X872
X436 X873 X874
X437 X875 X876
X438 X877 X878
X439 X879 X880
X440 X881 X882
X441 X883 X884
X442 X885 X886
X443 X887 X888
X444 X889 X890
X445 X891 X892
X446 X893 X894
X447 X895 X896
X448 X897 X898
X449 X899 X900
X450 X901 X902
X451 X903 X904
X452 X905 X906
X453 X907 X908
X454 X909 X910
X455 X911 X912
X456 X913 X914
X457 X915 X916
X458 X917 X918
X459 X919 X920
X460 X921 X922
X461 X923 X924
X462 X925 X926
X463 X927 X928
X464 X929 X930
X465 X931 X932
X466 X933 X934
X467 X935 X936
X468 X937 X938
X469 X939 X940
X470 X941 X942
X471 X943 X944
X472 X945 X946
X473 X947 X948
X474 X949 X950
X475 X951 X952
X476 X953 X954
X477 X955 X956
X478 X957 X958
X479 X959 X960
X480 X961 X962
X481 X963 X964
X482 X965 X966
X483 X967 X968
X484 X969 X970
X485 X971 X972
X486 X973 X974
X487 X975 X976
X488 X977 X978
X489 X979 X980
X490 X981 X982
X491 X983 X984
X492 X985 X986
X493 X987 X988
X494 X989 X990
X495 X991 X992
X496 X993 X994
X497 X995 X996
X498 X997 X998
X499 X999 X1000
X500 X1001 X1002
X501 X1003 X1004
X502 X1005 X1006
X503 X1007 X1008
X504 X1009 X1010
X505 X1011 X1012
X506 X1013 X1014
X507 X1015 X1016
X508 X1017 X1018
X509 X1019 X1020
X510 X1021 X1022
X511 39 41
X512 40 43
X513 42 47
X514 48 51
X515 44 47
X516 49 55
X517 47 52
X518 50 50
X519 44 44
X520 48 48
X521 48 49
X522 54 54
X523 50 51
X524 51 55
X525 49 50
X526 51 58
X527 48 48
X528 50 56
X529 49 53
X530 55 62
X531 49 49
X532 47 54
X533 53 56
X534 59 63
X535 55 56
X536 55 60
X537 52 60
X538 57 64
X539 57 58
X540 54 62
X541 57 59
X542 63 63
X543 42 46
X544 49 51
X545 45 50
X546 50 56
X547 50 55
X548 50 55
X549 51 52
X550 56 56
X551 49 53
X552 59 60
X553 49 56
X554 60 60
X555 50 54
X556 57 62
X557 55 57
X558 59 65
X559 47 50
X560 49 49
X561 45 52
X562 49 55
X563 46 48
X564 50 51
X565 53 53
X566 54 63
X567 49 49
X568 53 58
X569 54 61
X570 62 64
X571 52 57
X572 52 59
X573 57 58
X574 66 66
X575 41 43
X576 44 50
X577 43 43
X578 45 51
X579 46 48
X580 47 51
X581 46 48
X582 53 56
X583 42 47
X584 44 47
X585 45 51
X586 53 54
X587 49 49
X588 49 51
X589 48 49
X590 54 54
X591 42 48
X592 50 50
X593 47 51
X594 51 51
X595 48 50
X596 52 52
X597 46 48
X598 51 58
X599 41 47
X600 46 53
X601 45 51
X602 51 54
X603 51 56
X604 55 55
X605 49 56
X606 56 59
X607 46 53
X608 54 55
X609 50 56
X610 53 53
X611 47 54
X612 52 58
X613 54 59
X614 59 59
X615 51 54
X616 52 54
X617 56 56
X618 56 64
X619 51 54
X620 50 55
X621 53 60
X622 60 64
X623 50 50
X624 52 57
X625 50 54
X626 59 61
X627 53 55
X628 58 58
X629 49 56
X630 56 63
X631 53 58
X632 55 59
X633 55 63
X634 61 67
X635 62 62
X636 59 65
X637 64 71
X638 69 77
X639 43 48
X640 48 52
X641 48 49
X642 51 52
X643 49 54
X644 54 57
X645 54 59
X646 59 60
X647 48 50
X648 48 54
X649 48 53
X650 56 59
X651 56 56
X652 56 63
X653 62 65
X654 64 64
X655 51 52
X656 50 57
X657 56 59
X658 64 64
X659 50 57
X660 60 60
X661 58 60
X662 58 63
X663 53 53
X664 61 62
X665 51 60
X666 62 64
X667 58 67
X668 60 66
X669 56 64
X670 60 71
X671 44 50
X672 47 53
X673 51 55
X674 57 59
X675 53 55
X676 54 63
X677 60 62
X678 59 68
X679 50 52
X680 55 58
X681 54 57
X682 56 60
X683 52 59
X684 61 65
X685 67 67
X686 70 70
X687 52 58
X688 57 58
X689 61 62
X690 62 67
X691 62 64
X692 65 70
X693 61 65
X694 66 73
X695 62 64
X696 65 71
X697 64 64
X698 71 76
X699 65 73
X700 77 79
X701 73 82
X702 76 84
X703 46 52
X704 54 56
X705 52 61
X706 63 63
X707 54 62
X708 59 59
X709 59 67
X710 64 64
X711 49 52
X712 56 61
X713 55 60
X714 59 63
X715 57 57
X716 59 65
X717 61 64
X718 62 71
X719 52 56
X720 54 62
X721 58 65
X722 61 68
X723 51 55
X724 59 60
X725 59 67
X726 65 69
X727 51 58
X728 60 64
X729 66 67
X730 64 70
X731 54 61
X732 62 67
X733 67 70
X734 71 76
X735 56 60
X736 55 63
X737 57 66
X738 67 77
X739 62 63
X740 67 69
X741 58 66
X742 69 73
X743 54 63
X744 59 63
X745 65 67
X746 65 71
X747 59 63
X748 66 72
X749 66 66
X750 63 69
X751 58 67
X752 62 64
X753 58 66
X754 69 73
X755 66 74
X756 69 72
X757 72 80
X758 76 85
X759 61 65
X760 64 68
X761 68 75
X762 71 82
X763 70 75
X764 75 75
X765 78 81
X766 77 89
X767 44 47
X768 46 51
X769 49 51
X770 51 52
X771 46 49
X772 47 54
X773 50 57
X774 52 56
X775 50 52
X776 52 54
X777 52 55
X778 52 58
X779 51 53
X780 56 61
X781 55 63
X782 59 62
X783 47 51
X784 53 58
X785 52 53
X786 50 57
X787 51 55
X788 58 62
X789 64 65
X790 60 71
X791 55 64
X792 59 66
X793 64 65
X794 71 78
X795 58 66
X796 61 70
X797 65 70
X798 67 74
X799 47 51
X800 53 56
X801 52 55
X802 58 60
X803 52 52
X804 51 58
X805 55 59
X806 65 68
X807 50 50
X808 51 53
X809 54 57
X810 55 62
X811 56 64
X812 59 65
X813 57 61
X814 64 69
X815 51 51
X816 54 61
X817 61 63
X818 62 62
X819 56 61
X820 63 72
X821 60 63
X822 63 67
X823 54 60
X824 62 70
X825 62 68
X826 71 74
X827 55 62
X828 64 72
X829 62 65
X830 68 76
X831 45 47
X832 50 54
X833 47 49
X834 51 54
X835 47 50
X836 48 53
X837 52 52
X838 52 57
X839 53 56
X840 57 62
X841 52 58
X842 60 63
X843 56 60
X844 61 62
X845 58 59
X846 59 66
X847 59 59
X848 59 68
X849 55 63
X850 59 68
X851 57 59
X852 58 64
X853 62 67
X854 69 76
X855 56 61
X856 58 63
X857 59 62
X858 63 67
X859 58 60
X860 66 68
X861 64 75
X862 73 81
X863 51 56
X864 56 58
X865 56 56
X866 55 60
X867 53 58
X868 57 60
X869 55 56
X870 57 60
X871 57 61
X872 57 65
X873 63 66
X874 73 75
X875 59 59
X876 59 66
X877 67 69
X878 67 76
X879 58 61
X880 64 68
X881 62 62
X882 70 71
X883 61 61
X884 65 72
X885 66 69
X886 71 77
X887 60 61
X888 69 70
X889 64 64
X890 65 69
X891 60 62
X892 70 71
X893 71 74
X894 75 82
X895 49 50
X896 55 57
X897 51 58
X898 53 58
X899 54 55
X900 59 65
X901 59 61
X902 64 64
X903 54 57
X904 55 62
X905 59 67
X906 63 72
X907 64 72
X908 69 70
X909 67 74
X910 69 79
X911 52 56
X912 56 57
X913 52 56
X914 57 59
X915 55 57
X916 57 61
X917 62 67
X918 68 71
X919 57 65
X920 65 70
X921 65 68
X922 64 70
X923 61 62
X924 65 70
X925 70 72
X926 77 78
X927 47 54
X928 57 57
X929 58 58
X930 60 69
X931 59 70
X932 59 70
X933 62 69
X934 66 71
X935 53 58
X936 55 56
X937 54 61
X938 62 71
X939 60 62
X940 65 73
X941 67 67
X942 72 72
X943 55 56
X944 61 61
X945 61 61
X946 66 72
X947 54 63
X948 62 64
X949 59 66
X950 62 63
X951 53 60
X952 63 67
X953 59 68
X954 59 68
X955 63 66
X956 64 73
X957 66 74
X958 67 75
X959 52 59
X960 58 60
X961 54 61
X962 57 66
X963 53 60
X964 55 59
X965 59 63
X966 65 65
X967 50 56
X968 58 65
X969 53 59
X970 61 67
X971 57 60
X972 67 68
X973 60 66
X974 62 70
X975 52 59
X976 59 60
X977 58 65
X978 65 68
X979 64 71
X980 65 71
X981 70 73
X982 75 75
X983 55 60
X984 59 70
X985 63 72
X986 70 77
X987 67 76
X988 73 80
X989 71 80
X990 76 82
X991 49 55
X992 49 56
X993 54 57
X994 58 67
X995 59 60
X996 61 64
X997 60 65
X998 69 72
X999 55 61
X1000 57 60
X1001 51 60
X1002 63 65
X1003 60 67
X1004 61 67
X1005 57 63
X1006 68 71
X1007 54 61
X1008 65 67
X1009 57 59
X1010 62 70
X1011 63 63
X1012 62 71
X1013 67 75
X1014 76 83
X1015 67 67
X1016 68 71
X1017 70 81
X1018 77 88
X1019 71 71
X1020 71 71
X1021 74 76
X1022 83 85
